INPUT:previous	INPUT:sentence	INPUT:following	INPUT:quiz_file	INPUT:answer_num	INPUT:question_num	INPUT:sentence_num	TASK:id	TASK:overlap	OUTPUT:result	TASK:assignments_count
 Sailing around the Cape of Good Hope was achieved by Bartholomeu Dias in 1488	 The Horn of Africa was encountered by Vasco da Gama in 1497	 Therefore, the correct answer is that Balboa was the first European to encounter the Pacific Ocean	artifacts\v6\filtered_pop_quiz_1.json	1	0	5	000279d650--65148990ba0d275c33251a62	3	False	0
	Balboa, a Spanish explorer, was the first European to encounter the Pacific Ocean	 In 1513, he led an expedition across the Isthmus of Panama and reached the Pacific Ocean	artifacts\v6\filtered_pop_quiz_1.json	2	0	0	000279d650--6514898fba0d275c33251954	1	True	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
 In 1513, he led an expedition across the Isthmus of Panama and reached the Pacific Ocean	 This was a significant achievement as it opened up a new route for trade and exploration between Europe and Asia	 Circumnavigating the globe was accomplished by Ferdinand Magellan and his crew in the early 16th century	artifacts\v6\filtered_pop_quiz_1.json	2	0	2	000279d650--6514898fba0d275c33251976	1	False	0
Balboa, a Spanish explorer, was the first European to encounter the Pacific Ocean	 In 1513, he led an expedition across the Isthmus of Panama and reached the Pacific Ocean	 This was a significant achievement as it opened up a new route for trade and exploration between Europe and Asia	artifacts\v6\filtered_pop_quiz_1.json	2	0	1	000279d650--65148990ba0d275c33251a64	3	True	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
 This was a significant achievement as it opened up a new route for trade and exploration between Europe and Asia	 Circumnavigating the globe was accomplished by Ferdinand Magellan and his crew in the early 16th century	 Sailing around the Cape of Good Hope was achieved by Portuguese explorer Bartolomeu Dias in 1488	artifacts\v6\filtered_pop_quiz_1.json	2	0	3	000279d650--65148990ba0d275c33251a66	4	True	https://en.wikipedia.org/wiki/Ferdinand_Magellan
 Circumnavigating the globe was accomplished by Ferdinand Magellan and his crew in the early 16th century	 Sailing around the Cape of Good Hope was achieved by Portuguese explorer Bartolomeu Dias in 1488	 The Horn of Africa was encountered by various explorers throughout history, but Balboa's achievement was specifically related to his discovery of the Pacific Ocean	artifacts\v6\filtered_pop_quiz_1.json	2	0	4	000279d650--65148990ba0d275c33251a68	3	True	https://en.wikipedia.org/wiki/Bartolomeu_Dias
	"
Radar is the correct answer"	 France is credited with developing radar during World War I	artifacts\v6\filtered_pop_quiz_1.json	0	3	0	000279d650--65148991ba0d275c33251aaa	3	Cannot say	0
 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time and was awarded the Man of the Match	 His goal in the 113th minute secured Germany's 1-0 victory and their fourth World Cup title	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were also key players in the final, but it was Goetze's goal that made the difference and earned him the prestigious award	artifacts\v6\filtered_pop_quiz_4.json	5	1	2	000279d650--65148992ba0d275c33251b94	51	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#
 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time, securing Germany's victory	 As a result of his match-winning performance, Goetze was awarded the Man of the Match award	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were all key players in the final, but Goetze's goal and overall impact on the game earned him the prestigious individual accolade	artifacts\v6\filtered_pop_quiz_4.json	6	1	2	000279d650--65148992ba0d275c33251b9c	4	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#Post-match
The correct answer is a) Mario Goetze	 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time and was named the Man of the Match	 Goetze's goal in the 113th minute secured a 1-0 victory for Germany, earning them their fourth World Cup title	artifacts\v6\filtered_pop_quiz_4.json	4	1	1	000279d650--65148992ba0d275c33251b8c	44	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#
The correct answer is a) Mario Goetze	 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in the 113th minute of the match	 His goal helped Germany secure a 1-0 victory over Argentina and win the World Cup	artifacts\v6\filtered_pop_quiz_4.json	7	1	1	000279d650--65148992ba0d275c33251ba0	6	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#
The correct answer is a) Mario Goetze	 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time and was awarded the Man of the Match	 His goal in the 113th minute secured Germany's 1-0 victory and their fourth World Cup title	artifacts\v6\filtered_pop_quiz_4.json	5	1	1	000279d650--65148992ba0d275c33251b92	39	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#
Balboa was the first European to encounter the Pacific Ocean	 In 1513, while exploring the Isthmus of Panama, Balboa and his expedition crossed the narrow strip of land and became the first Europeans to reach the eastern shore of the Pacific Ocean	 This significant event opened up new possibilities for trade and exploration between Europe and Asia	artifacts\v6\filtered_pop_quiz_1.json	4	0	1	000279d650--6514898fba0d275c33251956	1	True	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
 This significant event opened up new possibilities for trade and exploration between Europe and Asia	 The circumnavigation of the globe was accomplished by Ferdinand Magellan in 1522	 The Cape of Good Hope was rounded by Bartolomeu Dias in 1488, and the Horn of Africa was encountered by Portuguese explorers in the late 15th century	artifacts\v6\filtered_pop_quiz_1.json	4	0	3	000279d650--65148990ba0d275c33251a7e	3	True	https://en.wikipedia.org/wiki/Ferdinand_Magellan
 The circumnavigation of the globe was accomplished by Ferdinand Magellan in 1522	 The Cape of Good Hope was rounded by Bartolomeu Dias in 1488, and the Horn of Africa was encountered by Portuguese explorers in the late 15th century	 Therefore, the correct answer is that Balboa was the first European to encounter the Pacific Ocean	artifacts\v6\filtered_pop_quiz_1.json	4	0	4	000279d650--65148991ba0d275c33251a82	4	False	1
	Balboa was the first European to encounter the Pacific Ocean	 In 1513, while exploring the Isthmus of Panama, Balboa and his expedition crossed the narrow strip of land and became the first Europeans to reach the eastern shore of the Pacific Ocean	artifacts\v6\filtered_pop_quiz_1.json	4	0	0	000279d650--65148990ba0d275c33251a7a	3	True	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
 The Cape of Good Hope was rounded by Bartolomeu Dias in 1488, and the Horn of Africa was encountered by Portuguese explorers in the late 15th century	 Therefore, the correct answer is that Balboa was the first European to encounter the Pacific Ocean		artifacts\v6\filtered_pop_quiz_1.json	4	0	5	000279d650--65148991ba0d275c33251a84	3	True	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
 In 1513, while exploring the Isthmus of Panama, Balboa and his expedition crossed the narrow strip of land and became the first Europeans to reach the eastern shore of the Pacific Ocean	 This significant event opened up new possibilities for trade and exploration between Europe and Asia	 The circumnavigation of the globe was accomplished by Ferdinand Magellan in 1522	artifacts\v6\filtered_pop_quiz_1.json	4	0	2	000279d650--65148990ba0d275c33251a7c	3	False	0
 This was a significant achievement as it proved that there was another ocean beyond the Atlantic	 Circumnavigation of the globe was accomplished by Ferdinand Magellan in 1522	 The Cape of Good Hope was first rounded by Bartolomeu Dias in 1488, and the Horn of Africa was encountered by various explorers throughout history	artifacts\v6\filtered_pop_quiz_1.json	5	0	3	000279d650--65148991ba0d275c33251a8a	3	True	https://en.wikipedia.org/wiki/Ferdinand_Magellan
	Balboa was the first European to encounter the Pacific Ocean	 In 1513, Vasco Núñez de Balboa, a Spanish explorer, crossed the Isthmus of Panama and reached the Pacific Ocean	artifacts\v6\filtered_pop_quiz_1.json	5	0	0	000279d650--65148991ba0d275c33251a86	3	True	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
 Circumnavigation of the globe was accomplished by Ferdinand Magellan in 1522	 The Cape of Good Hope was first rounded by Bartolomeu Dias in 1488, and the Horn of Africa was encountered by various explorers throughout history	 Therefore, the correct answer is that Balboa was the first European to encounter the Pacific Ocean	artifacts\v6\filtered_pop_quiz_1.json	5	0	4	000279d650--65148991ba0d275c33251a8c	3	True	https://en.wikipedia.org/wiki/Bartolomeu_Dias#Voyage_around_Africa
 In 1513, Vasco Núñez de Balboa, a Spanish explorer, crossed the Isthmus of Panama and reached the Pacific Ocean	 This was a significant achievement as it proved that there was another ocean beyond the Atlantic	 Circumnavigation of the globe was accomplished by Ferdinand Magellan in 1522	artifacts\v6\filtered_pop_quiz_1.json	5	0	2	000279d650--6514898fba0d275c33251998	2	False	0
Balboa was the first European to encounter the Pacific Ocean	 In 1513, Vasco Núñez de Balboa, a Spanish explorer, crossed the Isthmus of Panama and reached the Pacific Ocean	 This was a significant achievement as it proved that there was another ocean beyond the Atlantic	artifacts\v6\filtered_pop_quiz_1.json	5	0	1	000279d650--65148991ba0d275c33251a88	3	True	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
 Goetze's goal in the 113th minute secured a 1-0 victory for Germany, earning them their fourth World Cup title	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were all key players in the final, but it was Goetze's decisive contribution that earned him the prestigious individual award		artifacts\v6\filtered_pop_quiz_4.json	4	1	3	000279d650--65148992ba0d275c33251b90	3	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#Post-match
 Goetze's performance and his match-winning goal earned him the Man of the Match award in the final	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were all notable players in the final, but it was Mario Goetze who received the award		artifacts\v6\filtered_pop_quiz_4.json	7	1	4	000279d650--65148992ba0d275c33251ba4	7	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#Post-match
	The correct answer is a) Mario Goetze	 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time and was awarded the Man of the Match	artifacts\v6\filtered_pop_quiz_4.json	5	1	0	000279d650--6514898fba0d275c33251996	2	Cannot say	0
 His goal in the 113th minute secured Germany's 1-0 victory and their fourth World Cup title	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were also key players in the final, but it was Goetze's goal that made the difference and earned him the prestigious award		artifacts\v6\filtered_pop_quiz_4.json	5	1	3	000279d650--65148992ba0d275c33251b96	3	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#Post-match
The correct answer is a) Mario Goetze	 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time, securing Germany's victory	 As a result of his match-winning performance, Goetze was awarded the Man of the Match award	artifacts\v6\filtered_pop_quiz_4.json	6	1	1	000279d650--65148992ba0d275c33251b9a	3	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#
 As a result of his match-winning performance, Goetze was awarded the Man of the Match award	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were all key players in the final, but Goetze's goal and overall impact on the game earned him the prestigious individual accolade		artifacts\v6\filtered_pop_quiz_4.json	6	1	3	000279d650--65148990ba0d275c332519e8	3	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#Post-match
 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in the 113th minute of the match	 His goal helped Germany secure a 1-0 victory over Argentina and win the World Cup	 Goetze's performance and his match-winning goal earned him the Man of the Match award in the final	artifacts\v6\filtered_pop_quiz_4.json	7	1	2	000279d650--65148992ba0d275c33251ba2	4	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#
	The correct answer is a) Mario Goetze	 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in the 113th minute of the match	artifacts\v6\filtered_pop_quiz_4.json	7	1	0	000279d650--65148992ba0d275c33251b9e	3	Cannot say	0
	The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	artifacts\v6\filtered_pop_quiz_4.json	0	2	0	000279d650--6514898fba0d275c332519a4	2	Cannot say	0
 San Marino, being one of the weaker teams in international football, provided an opportunity for Rooney to reach this milestone	 Switzerland, Lithuania, and Slovenia were not the teams against which Rooney broke the England goalscoring record		artifacts\v6\filtered_pop_quiz_4.json	0	2	5	000279d650--65148992ba0d275c33251ba8	3	False	0
 Rooney scored his 50th international goal in that match, surpassing Bobby Charlton's record of 49 goals for England	 San Marino, being one of the weaker teams in international football, provided an opportunity for Rooney to reach this milestone	 Switzerland, Lithuania, and Slovenia were not the teams against which Rooney broke the England goalscoring record	artifacts\v6\filtered_pop_quiz_4.json	0	2	4	000279d650--65148990ba0d275c332519f6	3	False	0
 On October 9, 2015, England played against San Marino in a Euro 2016 qualifying match	 Rooney scored his 50th international goal in that match, surpassing Bobby Charlton's record of 49 goals for England	 San Marino, being one of the weaker teams in international football, provided an opportunity for Rooney to reach this milestone	artifacts\v6\filtered_pop_quiz_4.json	0	2	3	000279d650--65148990ba0d275c332519fa	3	False	0
 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a Euro 2016 qualifying match, Rooney scored his 49th and 50th goals for the England national team	 These goals allowed him to surpass Sir Bobby Charlton's record of 49 goals and become England's all-time leading goalscorer	artifacts\v6\filtered_pop_quiz_4.json	2	2	2	000279d650--65148992ba0d275c33251bb4	4	False	1
	"Vince Lombardi, the famous American football coach, is credited with saying, ""People who boast about their IQ are losers"	""" This quote reflects Lombardi's belief in the importance of humility and hard work over simply relying on intellect"	artifacts\v6\filtered_pop_quiz_1.json	0	1	0	000279d650--65148991ba0d275c33251aa2	51	False	49
Louis Braille invented the Braille system, a writing and reading system for people who are blind or visually impaired	 This option is correct because the quote describes the appearance of glowing tubes, which is not related to the work of Louis Pasteur, Marie Curie, or René Descartes		artifacts\v6\filtered_pop_quiz_1.json	0	2	1	000279d650--65148991ba0d275c33251aa8	3	Cannot say	0
	Louis Braille invented the Braille system, a writing and reading system for people who are blind or visually impaired	 This option is correct because the quote describes the appearance of glowing tubes, which is not related to the work of Louis Pasteur, Marie Curie, or René Descartes	artifacts\v6\filtered_pop_quiz_1.json	0	2	0	000279d650--65148991ba0d275c33251aa6	11	True	https://en.wikipedia.org/wiki/Louis_Braille
"Vince Lombardi, the famous American football coach, is credited with saying, ""People who boast about their IQ are losers"	""" This quote reflects Lombardi's belief in the importance of humility and hard work over simply relying on intellect"	 Lombardi valued actions and results more than intellectual abilities, and believed that true winners are those who demonstrate their skills through their achievements rather than bragging about their intelligence	artifacts\v6\filtered_pop_quiz_1.json	0	1	1	000279d650--6514898fba0d275c33251986	2	False	0
""" This quote reflects Lombardi's belief in the importance of humility and hard work over simply relying on intellect"	 Lombardi valued actions and results more than intellectual abilities, and believed that true winners are those who demonstrate their skills through their achievements rather than bragging about their intelligence		artifacts\v6\filtered_pop_quiz_1.json	0	1	2	000279d650--65148991ba0d275c33251aa4	3	False	0
 This milestone was achieved in a 2-0 victory over Lithuania at Wembley Stadium in London	 Rooney's goal and subsequent record-breaking achievement solidified his place in English football history	 Switzerland, San Marino, and Slovenia were not the opponents against whom Rooney broke the record	artifacts\v6\filtered_pop_quiz_4.json	1	2	4	000279d650--65148992ba0d275c33251bb0	3	True	https://en.wikipedia.org/wiki/Wayne_Rooney#Euro_2016
 Wayne Rooney broke the England goalscoring record against Lithuania	 On September 8, 2015, in a Euro 2016 qualifying match, Rooney scored his 50th international goal for England, surpassing the previous record held by Sir Bobby Charlton	 This milestone was achieved in a 2-0 victory over Lithuania at Wembley Stadium in London	artifacts\v6\filtered_pop_quiz_4.json	1	2	2	000279d650--65148992ba0d275c33251bae	3	True	https://en.wikipedia.org/wiki/Wayne_Rooney#Euro_2016
 Rooney's goal and subsequent record-breaking achievement solidified his place in English football history	 Switzerland, San Marino, and Slovenia were not the opponents against whom Rooney broke the record		artifacts\v6\filtered_pop_quiz_4.json	1	2	5	000279d650--65148990ba0d275c332519c4	2	False	0
The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a Euro 2016 qualifying match, Rooney scored his 49th and 50th goals for the England national team	artifacts\v6\filtered_pop_quiz_4.json	2	2	1	000279d650--6514898fba0d275c33251994	40	False	39
 San Marino is a small European country with a weaker football team, and the match against them provided Rooney with the opportunity to break the record	 Switzerland, Lithuania, and Slovenia are all opponents that England has faced, but it was San Marino against whom Rooney achieved this milestone		artifacts\v6\filtered_pop_quiz_4.json	4	2	4	000279d650--65148992ba0d275c33251bc4	3	False	0
	The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	artifacts\v6\filtered_pop_quiz_4.json	5	2	0	000279d650--65148992ba0d275c33251bc6	45	Cannot say	42
	The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	artifacts\v6\filtered_pop_quiz_4.json	4	2	0	000279d650--65148992ba0d275c33251bbe	3	Cannot say	0
 San Marino is a small nation with a relatively weaker football team, and Rooney's record-breaking goal came against them	 Switzerland, Lithuania, and Slovenia are all opponents that England has faced in international competitions, but it was against San Marino that Rooney achieved this milestone		artifacts\v6\filtered_pop_quiz_4.json	5	2	5	000279d650--65148992ba0d275c33251bd0	3	False	0
 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a Euro 2016 qualifying match, Rooney scored his 50th international goal, surpassing Bobby Charlton's record of 49 goals	 San Marino is a small European country with a weaker football team, and the match against them provided Rooney with the opportunity to break the record	artifacts\v6\filtered_pop_quiz_4.json	4	2	2	000279d650--65148990ba0d275c332519d0	3	False	0
 This goal surpassed Sir Bobby Charlton's record of 49 goals for England and made Rooney the all-time leading goalscorer for the national team	 While Rooney scored goals against other countries during his England career, it was against San Marino that he achieved this significant milestone		artifacts\v6\filtered_pop_quiz_4.json	3	2	4	000279d650--65148990ba0d275c332519f8	3	False	0
 This goal surpassed Bobby Charlton's previous record of 49 goals, making Rooney England's all-time leading goalscorer	 San Marino is a small nation with a relatively weaker football team, and Rooney's record-breaking goal came against them	 Switzerland, Lithuania, and Slovenia are all opponents that England has faced in international competitions, but it was against San Marino that Rooney achieved this milestone	artifacts\v6\filtered_pop_quiz_4.json	5	2	4	000279d650--65148992ba0d275c33251bce	3	False	0
The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a Euro 2016 qualifying match, Rooney scored his 50th international goal, surpassing Bobby Charlton's record of 49 goals	artifacts\v6\filtered_pop_quiz_4.json	4	2	1	000279d650--65148992ba0d275c33251bc0	3	False	0
 This fortuitous circumstance helped reduce US losses at Pearl Harbor because the strong winds caused many of the Japanese planes to miss their intended targets and drop their bombs in the wrong locations	 This resulted in less damage and fewer casualties for the US forces		artifacts\v6\filtered_pop_quiz_2.json	0	0	2	000279d650--65148991ba0d275c33251ab8	3	Cannot say	0
The correct answer is b) Strong winds blew Japanese planes off course	 This fortuitous circumstance helped reduce US losses at Pearl Harbor because the strong winds caused many of the Japanese planes to miss their intended targets and drop their bombs in the wrong locations	 This resulted in less damage and fewer casualties for the US forces	artifacts\v6\filtered_pop_quiz_2.json	0	0	1	000279d650--65148991ba0d275c33251ab6	19	False	16
	Sugar was the first good to be rationed in the United States because Japan's conquest of the Dutch East Indies in 1942 cut off the American supply of sugar from this region	 As a result, the US government implemented a rationing system to ensure that sugar supplies were fairly distributed among the population	artifacts\v6\filtered_pop_quiz_2.json	2	1	0	000279d650--65148991ba0d275c33251ac8	3	True	https://en.wikipedia.org/wiki/Rationing#Second_World_War
Sugar was the first good to be rationed in the United States because Japan's conquest of the Dutch East Indies, a major sugar-producing region, disrupted the global sugar market	 The United States relied heavily on imports of sugar from this region, and the loss of these imports created a shortage	 Rationing was implemented to ensure that the limited supply of sugar was distributed fairly among the population	artifacts\v6\filtered_pop_quiz_2.json	1	1	1	000279d650--65148991ba0d275c33251ac2	3	True	https://en.wikipedia.org/wiki/Rationing_in_the_United_States#Ration_books,_stamps,_and_tokens
 As a result, the US government implemented a rationing system for sugar to ensure that there was enough to go around	 This rationing system limited the amount of sugar that individuals and businesses could purchase, helping to manage the scarcity of sugar during this time		artifacts\v6\filtered_pop_quiz_2.json	0	1	3	000279d650--65148991ba0d275c33251ac0	3	True	https://en.wikipedia.org/wiki/Rationing_in_the_United_States#Food_and_consumer_goods
	The correct answer is d) Base personnel awoke earlier than usual		artifacts\v6\filtered_pop_quiz_2.json	1	0	0	000279d650--65148991ba0d275c33251aba	3	Cannot say	0
	"
The correct answer is d) Organizes and moves internal parts of the cell"	 The nucleus is responsible for coordinating the activities of the cell by organizing and controlling the movement of internal cell parts	artifacts\v6\filtered_pop_quiz_3.json	3	1	0	000279d650--65148990ba0d275c33251a20	3	Cannot say	0
The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a European Championship qualifier, Rooney scored his 50th international goal for England	artifacts\v6\filtered_pop_quiz_4.json	5	2	1	000279d650--65148992ba0d275c33251bc8	3	False	0
 This goal surpassed the previous record held by Bobby Charlton	 San Marino is a small country with a relatively weaker football team, and the match against them provided Rooney with the opportunity to break the record	 Switzerland, Lithuania, and Slovenia are all countries that England has played against in various matches, but none of them are the correct answer for this specific record-breaking goal	artifacts\v6\filtered_pop_quiz_4.json	6	2	4	000279d650--6514898fba0d275c33251942	3	False	0
 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a European Championship qualifier match, Rooney scored his 50th international goal for England	 This goal surpassed the previous record held by Bobby Charlton	artifacts\v6\filtered_pop_quiz_4.json	6	2	2	000279d650--65148992ba0d275c33251bd6	3	False	0
	The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	artifacts\v6\filtered_pop_quiz_4.json	6	2	0	000279d650--65148992ba0d275c33251bd2	33	Cannot say	31
The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a European Championship qualifier match, Rooney scored his 50th international goal for England	artifacts\v6\filtered_pop_quiz_4.json	6	2	1	000279d650--65148992ba0d275c33251bd4	39	False	36
 On October 9, 2015, in a European Championship qualifier match, Rooney scored his 50th international goal for England	 This goal surpassed the previous record held by Bobby Charlton	 San Marino is a small country with a relatively weaker football team, and the match against them provided Rooney with the opportunity to break the record	artifacts\v6\filtered_pop_quiz_4.json	6	2	3	000279d650--65148992ba0d275c33251bd8	3	False	0
 On October 9, 2015, in a European Championship qualifier, Rooney scored his 50th international goal for England	 This goal surpassed Bobby Charlton's previous record of 49 goals, making Rooney England's all-time leading goalscorer	 San Marino is a small nation with a relatively weaker football team, and Rooney's record-breaking goal came against them	artifacts\v6\filtered_pop_quiz_4.json	5	2	3	000279d650--65148992ba0d275c33251bcc	3	True	https://en.wikipedia.org/wiki/Wayne_Rooney#Euro_2016
 On October 9, 2015, in a Euro 2016 qualifying match, Rooney scored his 50th international goal, surpassing Bobby Charlton's record of 49 goals	 San Marino is a small European country with a weaker football team, and the match against them provided Rooney with the opportunity to break the record	 Switzerland, Lithuania, and Slovenia are all opponents that England has faced, but it was San Marino against whom Rooney achieved this milestone	artifacts\v6\filtered_pop_quiz_4.json	4	2	3	000279d650--65148992ba0d275c33251bc2	3	False	0
 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a European Championship qualifier, Rooney scored his 50th international goal for England	 This goal surpassed Bobby Charlton's previous record of 49 goals, making Rooney England's all-time leading goalscorer	artifacts\v6\filtered_pop_quiz_4.json	5	2	2	000279d650--65148992ba0d275c33251bca	3	False	0
 To ensure that the available sugar was fairly distributed, the US government implemented a rationing system in 1942, which limited the amount of sugar that could be purchased by individuals and businesses	 Rationing was an important measure during World War II to ensure that essential goods were available for the war effort and to prevent hoarding and price gouging		artifacts\v6\filtered_pop_quiz_2.json	4	1	3	000279d650--6514898fba0d275c332519b0	2	True	https://en.wikipedia.org/wiki/Rationing#Second_World_War
